month,total_expense,total_bills,total_income,food,transport,utilities,housing,health,shopping,entertainment,education
2025-01,68000,22000,95000,18000,8000,12000,15000,3000,7000,3000,2000
2025-02,72000,23000,95000,19000,9000,13000,15000,4000,8000,2500,1500
2025-03,65000,21000,98000,17000,7500,11500,15000,2500,6500,3500,1500
2025-04,71000,22500,95000,18500,8500,12500,15000,3500,8000,3000,2000
2025-05,78000,24000,100000,20000,9500,13000,15000,5000,9000,4000,2500
2025-06,69000,21500,95000,17500,8000,12000,15000,3000,7500,4000,2000
2025-07,74000,23000,100000,19000,8500,13000,15000,4500,8000,3500,2500
2025-08,67000,20500,95000,16500,7500,11500,15000,3000,7000,4500,2000
2025-09,82000,25000,105000,21000,10000,14000,15000,5500,10000,4000,2500
2025-10,73000,22000,100000,18500,8500,12500,15000,4000,8500,3500,2500
2025-11,76000,23500,100000,19500,9000,13000,15000,4500,9000,3500,2500
2025-12,85000,26000,120000,22000,10500,14500,15000,5000,11000,4500,2500
2026-01,70000,21500,100000,18000,8000,12000,15000,3500,7500,3500,2500
2026-02,75000,23000,100000,19000,9000,12500,15000,4000,9000,4000,2500
2026-03,68000,21000,98000,17500,7500,12000,15000,3000,7000,4000,2000
2026-04,79000,24500,105000,20500,9500,13500,15000,5000,9500,3500,2500
2026-05,72000,22000,100000,18500,8500,12500,15000,3500,8000,3500,2500
